caller_pgmDepth,caller_pgmPartition,caller_pgmLibrary,caller_pgmName,caller_lineno,pgmDepth,pgmPartition,pgmLibrary,pgmName,pgmStepCount,pgmType,fileNo,filePartition,fileLibrary,fileName,cmdName/fileDevice,cmdPara/fileFormat,recordLength/fileStepCount,fileType,C,R,U,D,testTargetType,real_filePartition,real_ fileLibrary,real_ fileName
0,-,-,-,-,1,HONSHA01,JJ_LIB,JJJB15M0,479,CL,1651,HONSHA01,MASTER2,JJB305DK,DLTF,FILE,-,-,todo,todo,todo,todo,todo,HONSHA01,MASTER2,JJB305DK
0,-,-,-,-,1,HONSHA01,JJ_LIB,JJJB15M0,479,CL,1731,HONSHA01,WRKCAT2,DATECHGF,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,HONSHA01,WRKCAT2,DATECHGF
0,-,-,-,-,1,HONSHA01,JJ_LIB,JJJB15M0,479,CL,1751,HONSHA01,WRKCAT2,DATECHGF,CRTPF,FILE,40,-,todo,todo,todo,todo,todo,HONSHA01,WRKCAT2,DATECHGF
0,-,-,-,-,1,HONSHA01,JJ_LIB,JJJB15M0,479,CL,1791,HONSHA01,WRKCAT2,DATECHGF,CLRPFM,FILE,-,-,todo,todo,todo,todo,todo,HONSHA01,WRKCAT2,DATECHGF
0,-,-,-,-,1,HONSHA01,JJ_LIB,JJJB15M0,479,CL,1811,HONSHA01,JJ_LIB,CARD,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,HONSHA01,JJ_LIB,CARD
0,-,-,-,-,1,HONSHA01,JJ_LIB,JJJB15M0,479,CL,1812,HONSHA01,JJ_LIB,QTXTSRC,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,HONSHA01,JJ_LIB,QTXTSRC
0,-,-,-,-,1,HONSHA01,JJ_LIB,JJJB15M0,479,CL,1821,HONSHA01,JJ_LIB,BMRDATA,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,HONSHA01,JJ_LIB,BMRDATA
0,-,-,-,-,1,HONSHA01,JJ_LIB,JJJB15M0,479,CL,1822,HONSHA01,WRKCAT2,DATECHGF,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,HONSHA01,WRKCAT2,DATECHGF
0,-,-,-,-,1,HONSHA01,JJ_LIB,JJJB15M0,479,CL,1911,HONSHA01,WRKCAT2,HIZUKEFL,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,HONSHA01,WRKCAT2,HIZUKEFL
0,-,-,-,-,1,HONSHA01,JJ_LIB,JJJB15M0,479,CL,1931,HONSHA01,WRKCAT2,HIZUKEFL,CRTPF,FILE,40,-,todo,todo,todo,todo,todo,HONSHA01,WRKCAT2,HIZUKEFL
