caller_pgmDepth,caller_pgmPartition,caller_pgmLibrary,caller_pgmName,caller_lineno,pgmDepth,pgmPartition,pgmLibrary,pgmName,pgmStepCount,pgmType,fileNo,filePartition,fileLibrary,fileName,cmdName/fileDevice,cmdPara/fileFormat,recordLength/fileStepCount,fileType,C,R,U,D,testTargetType,real_filePartition,real_ fileLibrary,real_ fileName
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,901,KOUBAI01,COMNLIB,HINHNTW,CRTDDMF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,COMNLIB,HINHNTW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,902,KOUBAI01,BAALIB,HINHEN,CRTDDMF,RMTFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,HINHEN
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,921,KOUBAI01,COMNLIB,HINHNTW,CPYF,FROMFILE,-,-,-,R,-,-,todo,KOUBAI01,COMNLIB,HINHNTW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,922,KOUBAI01,COMNLIB,HINHNT,CPYF,TOFILE,-,-,C,-,-,-,todo,KOUBAI01,COMNLIB,HINHNT
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,941,KOUBAI01,COMNLIB,HINHNTW,DLTF,FILE,-,-,-,-,-,D,todo,KOUBAI01,COMNLIB,HINHNTW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,981,KOUBAI01,COMNLIB,BHNKOTW,CRTDDMF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,COMNLIB,BHNKOTW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,982,KOUBAI01,BAALIB,BHNKO,CRTDDMF,RMTFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BHNKO
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,1001,KOUBAI01,COMNLIB,BHNKOTW,CPYF,FROMFILE,-,-,-,R,-,-,todo,KOUBAI01,COMNLIB,BHNKOTW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,1002,KOUBAI01,COMNLIB,BHNKOT,CPYF,TOFILE,-,-,C,-,-,-,todo,KOUBAI01,COMNLIB,BHNKOT
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,1021,KOUBAI01,COMNLIB,BHNKOTW,DLTF,FILE,-,-,-,-,-,D,todo,KOUBAI01,COMNLIB,BHNKOTW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,1071,KOUBAI01,BAALIB,BAA050DK,CPYF,FROMFILE,-,-,-,R,-,-,todo,KOUBAI01,BAALIB,BAA050DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,1072,KOUBAI01,BAALIB,BAA050D1,CPYF,TOFILE,-,-,C,-,-,-,todo,KOUBAI01,BAALIB,BAA050D1
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,1141,KOUBAI01,BAALIB,BAA060DK,CPYF,FROMFILE,-,-,-,R,-,-,todo,KOUBAI01,BAALIB,BAA060DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,1142,KOUBAI01,BAALIB,BAA060D1,CPYF,TOFILE,-,-,C,-,-,-,todo,KOUBAI01,BAALIB,BAA060D1
