pgmPartition,pgmLibrary,pgmName,pgmStepCount,pgmCommentCount,Workstn,Disk,Printer
KOUBAI01,BAALIB,ABAA010,329,53,0,6,0
KOUBAI01,BAALIB,ABAA015,261,41,0,6,0
KOUBAI01,BAALIB,ABAA020,39,0,0,2,1
KOUBAI01,BAALIB,ABAA030,163,4,0,5,1
KOUBAI01,BAALIB,ABAA040,288,50,0,6,1
KOUBAI01,BAALIB,ABAA050,48,0,0,2,0
KOUBAI01,BAALIB,ABAA050A,49,0,0,2,0
KOUBAI01,BAALIB,ABAA055,46,10,0,2,0
KOUBAI01,BAALIB,ABAA060,257,32,0,5,1
KOUBAI01,BAALIB,ABAA060A,251,32,0,5,1
KOUBAI01,BAALIB,ABAA070,164,18,0,3,1
KOUBAI01,BAALIB,ABAA075,195,15,0,2,0
KOUBAI01,BAALIB,ABAA080,161,28,0,5,0
KOUBAI01,BAALIB,ABAA090,175,28,0,2,1
KOUBAI01,BAALIB,ABAA10A,68,4,0,3,0
KOUBAI01,BAALIB,ABAA10B,43,1,0,3,0
KOUBAI01,BAALIB,ABAA10C,52,16,0,2,0
